station_id,name,latitude,longitude,altitude,region,installation_date,status
WS001,Moscow-Center,55.7558,37.6173,156,Central,2020-01-15,active
WS002,Moscow-South,55.6167,37.6667,180,Central,2020-01-20,active
WS003,Moscow-North,55.8500,37.5833,165,Central,2020-02-01,active
WS004,Saint-Petersburg,59.9343,30.3351,5,Northwest,2020-03-10,active
WS005,Novosibirsk,55.0084,82.9357,120,Siberia,2020-04-15,active
WS006,Yekaterinburg,56.8389,60.6057,270,Ural,2020-05-01,active
WS007,Kazan,55.7887,49.1221,90,Volga,2020-06-15,active
WS008,Nizhny-Novgorod,56.2965,43.9361,100,Volga,2020-07-01,active
WS009,Chelyabinsk,55.1644,61.4368,230,Ural,2020-08-10,active
WS010,Samara,53.2001,50.1500,50,Volga,2020-09-01,active
WS011,Omsk,54.9885,73.3242,90,Siberia,2020-10-15,active
WS012,Rostov-on-Don,47.2357,39.7015,80,South,2020-11-01,active
WS013,Ufa,54.7388,55.9721,150,Ural,2020-12-01,active
WS014,Krasnoyarsk,56.0153,92.8932,140,Siberia,2021-01-15,active
WS015,Perm,58.0105,56.2502,170,Ural,2021-02-01,active
WS016,Voronezh,51.6720,39.1843,160,Central,2021-03-10,active
WS017,Volgograd,48.7194,44.5018,145,South,2021-04-15,active
WS018,Krasnodar,45.0355,38.9753,35,South,2021-05-01,active
WS019,Sochi,43.5855,39.7231,20,South,2021-06-15,active
WS020,Vladivostok,43.1155,131.8855,30,Far-East,2021-07-01,active
